IntelliHire Project - Cost Analysis Spreadsheet,,,,,,,,
,,,,,,,,
=== ESSENTIAL SERVICES ===,,,,,,,,
Service,Provider,Purpose,Monthly Cost (USD),6-Month Total,Priority,Notes,,
OpenAI API,OpenAI,LLM response analysis,$30-50,$180-300,CRITICAL,Core AI functionality,,
Google Cloud TTS,Google,Text-to-speech for avatar,$10-20,$60-120,HIGH,Professional voice quality,,
Domain Registration,Namecheap,intellihire.com,$1.50 ,$9 ,MEDIUM,Professional branding,,
,,,,,,,,
=== HOSTING & DEPLOYMENT ===,,,,,,,,
Service,Provider,Purpose,Monthly Cost (USD),6-Month Total,Priority,Notes,,
DigitalOcean Droplet,DigitalOcean,Backend hosting (4GB RAM),$24 ,$144 ,HIGH,Online demo platform,,
Vercel Pro,Vercel,Frontend hosting,$20 ,$120 ,MEDIUM,React app deployment,,
MongoDB Atlas,MongoDB,Cloud database,$9 ,$54 ,MEDIUM,Alternative to local MySQL,,
SSL Certificate,Let's Encrypt,Security,FREE,$0 ,HIGH,Included with hosting,,
,,,,,,,,
=== DEVELOPMENT TOOLS ===,,,,,,,,
Service,Provider,Purpose,Monthly Cost (USD),6-Month Total,Priority,Notes,,
GitHub Pro,GitHub,Private repos + advanced features,$4 ,$24 ,LOW,Enhanced development,,
VS Code Copilot,Microsoft,AI coding assistance,$10 ,$60 ,LOW,Productivity boost,,
,,,,,,,,
=== BUDGET SCENARIOS ===,,,,,,,,
Scenario,Description,Monthly Cost,6-Month Total,Recommendation,,,,
Minimum Viable Product,Core functionality only,$42 ,$249 ,Good for basic demo,,,,
Professional Setup,Online demo ready,$91 ,$543 ,RECOMMENDED,,,,
Full Featured,All enhancements,$113 ,$677 ,Ideal but optional,,,,
,,,,,,,,
=== COST COMPARISON ===,,,,,,,,
Alternative,Cost,Pros,Cons,,,,,
Self-hosted only,$0 ,No ongoing costs,Local demo only,,,,,
Cloud hosting,$543 ,Professional demo,Monthly fees,,,,,
Enterprise solutions,$2000+,Full commercial features,Way over budget,,,,,
,,,,,,,,
=== MONTHLY BREAKDOWN (Professional Tier) ===,,,,,,,,
Month,OpenAI API,Google TTS,Hosting,Domain,Database,Total,,
Month 1,$30 ,$10 ,$44 ,$1.50 ,$9 ,$94.50 ,,
Month 2,$30 ,$10 ,$44 ,$1.50 ,$9 ,$94.50 ,,
Month 3,$30 ,$10 ,$44 ,$1.50 ,$9 ,$94.50 ,,
Month 4,$40 ,$15 ,$44 ,$1.50 ,$9 ,$109.50 ,,
Month 5,$40 ,$15 ,$44 ,$1.50 ,$9 ,$109.50 ,,
Month 6,$50 ,$20 ,$44 ,$1.50 ,$9 ,$124.50 ,,
TOTAL,$220 ,$80 ,$264 ,$9 ,$54 ,$627 ,,
,,,,,,,,
=== FREE ALTERNATIVES ===,,,,,,,,
Service,Free Alternative,Limitation,Impact on Project,,,,,
OpenAI API,Hugging Face free models,Lower quality analysis,Reduced accuracy,,,,,
Google TTS,Browser Web Speech API,Basic voice quality,Less professional,,,,,
Hosting,GitHub Pages,Static sites only,No backend functionality,,,,,
Database,Local SQLite,No cloud access,Local demo only,,,,,
,,,,,,,,
=== RISK MITIGATION ===,,,,,,,,
Risk,Probability,Impact,Mitigation,Cost,,,,
API costs exceed budget,Medium,High,Set usage limits + monitoring,$0 ,,,,
Hosting downtime,Low,Medium,Multi-provider backup,$20/month,,,,
Model performance issues,Low,High,Fallback to rule-based analysis,$0 ,,,,
,,,,,,,,
=== ROI ANALYSIS ===,,,,,,,,
Investment,$543 (6 months),,,,,,,
Academic Value,Strong FYP project + potential publication,,,,,,,
Career Value,Portfolio project demonstrating AI expertise,,,,,,,
Commercial Value,MVP for potential startup/product,,,,,,,
Learning Value,Hands-on experience with cutting-edge AI,,,,,,,
,,,,,,,,
=== SUPERVISOR APPROVAL ===,,,,,,,,
Budget Tier,Amount,Approved?,Comments,Date,,,,
Minimum,$249 ,[ ],,,,,,
Professional,$543 ,[ ],,,,,,
Custom,$______,[ ],,,,,,
,,,,,,,,
=== PAYMENT SCHEDULE ===,,,,,,,,
Phase,Duration,Amount,Purpose,,,,,
Development,Months 1-3,$285 ,Core system development,,,,,
Testing,Months 4-5,$200 ,Integration and testing,,,,,
Demo Prep,Month 6,$124 ,Final polish and demo,,,,,
TOTAL,6 months,$609 ,Complete project,,,,,
,,,,,,,,
Notes:,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
,,,,,,,,
Contact Information:,,,,,,,,
Student: [Your Name],,,,,,,,
Email: [Your Email],,,,,,,,
Project: IntelliHire AI Interview System,,,,,,,,
Supervisor: [Supervisor Name],,,,,,,,
Date: October 26,2025,,,,,,,
